Carrier Code,Sabre Bookings
0B,8
2I,2
2N,1
3M,2
3U,6
5H,2
5N,4
5U,3
7R,3
8L,2
8Q,130
8U,7
9B,6
9F,1
9K,1
9U,2
9V,2
9W,14533
A3,758
AA,32
AC,414
AD,1
AE,2
AF,302
AH,9
AI,3084
AM,19
AR,7
AS,60
AT,647
AV,30
AZ,363
B2,19
B5,1
BA,647
BE,16
BG,358
BI,2
BJ,2
BM,1
BT,6
BV,2
BW,1
CA,2
CC,1
CI,12
CM,10
CX,165
CZ,128
DL,271
DV,10
EI,8
EK,5555
EL,3
EQ,21
ET,723
EW,28
EY,8529
FB,1
FI,29
FJ,2
FM,4
FZ,5801
G3,18
GA,29
GF,7001
GQ,100
GR,2
H1,73
HA,5
HM,32
HO,4
HU,2
HX,4
IB,27
ID,31
IG,1
J9,1
JJ,3
JL,10
JP,4
JU,1
JY,5
K6,1
KA,26
KC,6
KE,11
KK,1316
KL,1167
KM,7
KP,44
KQ,288
KU,15148
KX,2
LA,23
LH,623
LI,1
LO,14
LX,145
LY,2
M9,1
ME,1362
MH,230
MI,7
MK,4
MN,19
MS,24705
MT,5
MU,23
MW,4
NP,6651
NT,1
NX,1
NZ,1
OD,574
OK,65
OS,150
OU,6
P0,2
P9,1
PC,3120
PD,3
PG,41
PK,5
PR,277
PS,114
PU,2
PW,1
PX,1
PZ,2
QD,3
QF,1
QR,6962
QV,1
RA,1
RJ,3303
RO,48
S2,4
S7,22
SA,41
SE,2
SK,11
SN,36
SQ,47
ST,13
SU,6
SV,2301
SW,1
SY,11
TA,1
TB,1
TF,1
TG,143
TK,9766
TP,1
TR,39
TU,154
U6,7
UA,397
UH,25
UJ,4673
UK,81
UL,5507
UP,2
UT,13
UX,10
V7,2
VA,17
VN,11
VS,3
VX,5
VY,38
W2,17
WB,88
WM,1
WS,45
WW,6
WX,1
WY,14449
XG,2
XL,2
XQ,44
XY,186
YE,6
YM,1
Z9,2
ZH,3
ZI,13
ZM,1
