Carrier Code,Sabre Bookings
0B,131
2I,6
2J,1
2M,4
2N,523
3K,2
3M,1
3S,5
3U,23
4O,6
5N,3
5T,2
5W,1
5Z,24
7F,4
7N,1
7R,5
8Q,4
9K,2
9N,1
9U,2
9V,42
9W,941
A3,2288
A5,18
A9,23
AA,31431
AB,-19
AC,12259
AD,73
AE,2
AF,18180
AH,7
AI,2730
AM,451
AR,94
AS,768
AT,141
AV,1038
AY,47926
AZ,1320
B2,139
B6,82
BA,72368
BB,1
BE,62
BG,15
BI,8
BJ,25
BM,54
BP,4
BR,16
BT,4352
BW,23
CA,10346
CI,213
CM,509
CX,4698
CZ,1287
D8,6593
DE,228
DI,99
DL,1803
DT,8
DV,8
DY,8195
EI,251
EK,6629
EL,13
EN,35
EQ,17
ET,1405
EW,1087
EY,2015
FB,6
FI,2130
FJ,76
FM,44
FZ,71
G3,349
GA,369
GF,253
GQ,41
GR,3
H1,250
HA,43
HG,-8
HM,47
HO,48
HU,57
HX,56
HY,9
IB,9101
ID,7
IG,7
IZ,1
J2,13
JJ,495
JL,1050
JP,2
JU,1
K6,40
KA,932
KC,12
KE,129
KK,91
KL,45946
KM,273
KP,13
KQ,1695
KU,8
KX,13
LA,3642
LG,646
LH,36899
LM,26
LO,5897
LR,-2
LX,11368
LY,10
M9,2
MD,10
ME,19
MF,212
MH,805
MI,655
MK,116
MN,135
MS,239
MT,17
MU,695
MW,46
NH,436
NP,7
NT,148
NU,38
NY,13
NZ,670
O6,79
OB,21
OD,152
OK,1506
OM,10
OR,2
OS,3109
OU,544
OZ,262
P0,8
P9,21
PD,19
PG,946
PK,2
PR,163
PS,10
PU,16
PW,250
PX,12
PY,10
PZ,10
QD,10
QF,1334
QR,7302
QS,191
QV,12
RA,2
RJ,205
RO,93
S4,55
S7,358
SA,498
SB,5
SC,1
SK,38093
SN,6544
SP,41
SQ,8886
SS,16
ST,2
SU,2906
SV,59
SW,39
SY,64
TA,35
TF,206
TG,2605
TK,8565
TM,22
TN,8
TP,2201
TR,724
TS,83
TU,10
U6,196
UA,22516
UK,24
UL,175
UO,102
UP,4
UT,117
UU,8
UX,995
VA,509
VN,749
VR,2
VS,1350
VW,3
VX,46
VY,988
WF,1286
WM,4
WP,-4
WS,494
WW,173
WX,2
WY,363
XG,2
XK,1
XL,12
XQ,71
Y7,11
YM,20
ZH,19
ZI,21
