Carrier Code,Sabre Bookings
0B,187
2N,47
2P,4
3K,554
3M,10
3S,14
3U,510
4B,1
4O,1
5F,653
5H,9
5J,2
5N,126
5U,8
5W,6
5Z,2
6H,102
7C,1
7H,4
7I,262
7N,19
7R,976
8L,44
8M,113
8Q,3981
8U,7
9B,40
9F,9
9K,2
9N,5
9U,5061
9V,81
9W,8765
A3,17154
A5,104
A9,14500
AA,9582
AC,7132
AD,212
AE,10
AF,42226
AH,946
AI,3347
AM,1297
AR,823
AS,2169
AT,656
AV,1209
AY,17325
AZ,20822
B2,35376
B5,4
B6,2107
BA,9690
BB,2
BD,36
BE,214
BG,105
BI,102
BJ,33
BL,111
BM,120
BP,9
BR,938
BT,23243
BV,13
BW,13
CA,19692
CE,5
CI,663
CM,717
CO,144
CX,3780
CY,91
CZ,7299
D8,4426
DE,778
DI,77
DL,6203
DT,34
DV,8857
DY,3776
EB,12
EI,609
EK,21171
EL,2847
EN,1400
EQ,338
ET,3144
EW,1628
EY,19789
FB,2835
FI,754
FJ,284
FM,106
FZ,6623
G3,635
GA,633
GF,7645
GK,40
GM,1
GP,50
GQ,465
GR,5
GS,80
H1,4463
H9,4
HA,406
HG,89
HM,515
HO,169
HU,1584
HX,1056
HY,5804
HZ,423
IB,10305
ID,38
IE,3
IG,321
IZ,267
J2,13287
JD,429
JJ,491
JL,935
JP,2504
JQ,476
JU,2791
JY,8
K6,671
KA,594
KC,35670
KE,1945
KK,11164
KL,42610
KM,1098
KP,63
KQ,1647
KS,2
KU,2998
KX,7
LA,2579
LG,480
LH,49259
LI,85
LM,10
LO,81874
LX,12406
LY,9532
M9,10457
MD,74
ME,1113
MF,208
MH,1000
MI,564
MK,372
MN,9
MS,4362
MT,26
MU,5068
MW,27
NF,18
NH,1212
NP,207
NT,216
NU,10
NX,30
NY,19
NZ,465
O6,314
OA,2
OB,7
OD,647
OK,13664
OM,114
OR,59
OS,25300
OU,1081
OY,400
OZ,1502
P0,5
P9,38
PC,15658
PD,26
PG,2630
PK,104
PR,871
PS,46324
PU,8
PW,323
PX,24
PY,13
PZ,8
QD,3
QF,1634
QR,29410
QS,3398
QV,50
R3,346
RA,21
RJ,2257
RO,2387
S4,262
S7,15391
SA,255
SB,31
SC,34
SE,216
SK,14856
SN,4703
SP,198
SQ,8849
SS,62
ST,621
SU,185303
SV,5745
SW,113
SX,34
SY,101
T5,1
T7,6
TA,60
TB,42
TF,12
TG,5215
TK,143400
TL,4
TM,14
TN,55
TP,10136
TR,367
TS,106
TU,380
TX,131
U6,95064
UA,9208
UG,19
UH,3546
UK,126
UL,1386
UO,51
UP,28
UT,95291
UU,366
UX,3575
V7,39
VA,502
VN,1614
VR,15
VS,88
VT,93
VW,30
VX,138
VY,1488
W2,4611
W4,3
WB,191
WF,321
WG,1
WM,31
WS,614
WW,87
WX,4
WY,6290
XG,143
XK,23
XL,37
XQ,676
XY,219
Y7,177
YE,10799
YM,1312
Z9,59
ZH,191
ZI,612
ZM,3796
