Carrier Code,Sabre Bookings
0B,1207
2I,47
2J,6
2M,10
2N,540
3E,2
3K,181
3M,8
3O,8
3S,9
3U,84
4M,4
4O,1
4U,-2
5N,10
5P,2
5U,68
5Z,33
6H,53
7F,1
7H,3
7I,91
7N,21
7R,94
8L,4
8M,6
8Q,639
9B,246
9K,2
9N,8
9U,241
9V,138
9W,7520
A3,13134
A5,306
A9,2560
AA,31467
AB,-156
AC,21413
AD,507
AE,8
AF,46085
AH,364
AI,9306
AK,27
AM,3449
AR,1015
AS,952
AT,7860
AV,4169
AY,42698
AZ,14182
B1,-34
B2,4752
B5,-4
B6,289
BA,62861
BB,10
BD,12
BE,1481
BG,75
BI,39
BJ,66
BL,15
BM,524
BP,121
BR,2914
BT,26868
BV,5
BW,173
CA,17884
CC,1
CD,11
CE,3
CI,6477
CM,2009
CO,2
CX,15508
CY,21
CZ,14041
D7,3
D8,9409
DD,1
DE,3159
DI,517
DL,16527
DT,245
DV,388
DY,18387
EB,3
EI,3263
EK,43676
EL,172
EN,314
EQ,546
ET,8394
EW,3701
EY,17654
FA,1
FB,2258
FD,22
FI,8634
FJ,86
FM,328
FR,12361
FZ,655
G3,622
GA,15935
GF,470
GK,7
GP,5
GQ,173
GS,1
H1,1268
HA,321
HG,-63
HM,87
HO,9
HQ,-96
HU,934
HV,20
HX,279
HY,355
IB,24311
ID,94
IG,84
IZ,56
J2,497
JD,1
JJ,1440
JL,3218
JP,2981
JQ,72
JU,4010
JY,20
K6,191
KA,2121
KC,437
KE,1652
KK,4171
KL,258377
KM,3454
KP,62
KQ,8326
KU,243
KX,12
LA,7042
LG,520
LH,89386
LI,140
LM,238
LO,59990
LQ,3
LX,28098
LY,1145
MD,15
ME,656
MF,1330
MH,7079
MI,1817
MK,589
MN,365
MS,5611
MT,163
MU,6225
MW,12
NF,4
NH,1485
NK,2
NP,112
NT,804
NU,36
NX,22
NY,9
NZ,2868
O6,372
OB,29
OD,501
OE,49
OK,6245
OM,48
OR,2487
OS,19459
OU,5239
OY,164
OZ,374
P0,30
P9,207
PC,11852
PD,19
PG,2913
PK,61
PN,2
PR,3916
PS,20972
PU,24
PW,1134
PX,31
PY,2953
PZ,5
QD,26
QF,4985
QR,23004
QS,587
QV,59
QZ,13
RA,9
RJ,2347
RO,4148
S4,477
S7,579
SA,1782
SB,12
SC,1
SE,234
SK,109293
SN,46363
SP,274
SQ,15624
SS,105
ST,267
SU,61293
SV,427
SW,375
SX,73
SY,33
T7,17
TA,37
TB,3322
TF,2644
TG,10200
TK,113049
TL,1
TM,47
TN,24
TO,16
TP,22496
TR,434
TS,1906
TU,2594
TX,625
U2,752
U6,775
UA,77624
UG,5
UK,55
UL,3968
UO,21
UP,84
UT,819
UU,69
UX,12197
V7,78
VA,1335
VN,5183
VR,91
VS,11231
VT,25
VW,30
VX,57
VY,9773
W2,1532
W4,6
W6,544
WB,595
WF,5160
WM,312
WS,1249
WW,2152
WX,120
WY,2147
X3,6
XC,14
XG,146
XK,442
XL,62
XQ,1356
XT,26
XY,10
Y7,7
YE,224
YM,237
Z2,1
Z9,4
ZH,63
ZI,102
ZM,15
