Carrier Code,Sabre Bookings
0B,18872
2I,204
2J,35
2M,68
2N,833
2P,6
2Z,4
3B,2
3E,2
3K,1852
3M,240
3S,380
3U,665
4M,130
4N,10
4O,700
4U,-23
5F,1073
5H,44
5J,2
5N,152
5U,443
5W,11
5Z,135
6H,283
7F,1
7I,534
7N,120
7R,129
8L,10
8M,539
8Q,1949
9B,1136
9K,33
9M,2
9N,90
9U,7220
9V,3772
9W,26706
A1,16
A3,99583
A5,14963
A9,3695
AA,56976
AB,-331
AC,62622
AD,8550
AE,81
AF,283929
AH,5968
AI,34339
AM,34356
AR,16538
AS,1754
AT,56597
AV,53563
AY,61532
AZ,375405
B0,11
B2,5459
B5,22
B6,35
B8,38
BA,173973
BB,31
BD,397
BE,27717
BG,208
BI,2325
BJ,3292
BL,73
BM,2561
BP,209
BR,3701
BT,14670
BV,4451
BW,1001
CA,35472
CC,151
CE,459
CG,25
CI,7458
CM,17142
CO,9963
CX,38018
CY,135
CZ,9226
D8,330
DE,6857
DI,930
DL,30672
DT,2000
DV,177
DY,5896
EB,2355
EI,9104
EK,85627
EL,956
EN,4715
EQ,1958
ET,20099
EW,3846
EY,84952
FB,12317
FI,5671
FJ,1115
FM,1348
FP,42
FZ,4232
G3,10238
GA,5116
GF,5945
GK,26
GM,116
GP,1204
GQ,2306
GR,262
GS,545
H1,4386
H9,52
HA,344
HG,-378
HM,1523
HO,339
HR,1
HU,4012
HX,1779
HY,1431
HZ,5
IB,330994
ID,479
IE,6
IG,6547
IZ,2036
J2,1799
JD,338
JG,14
JJ,7854
JL,8283
JP,8451
JQ,27
JT,2
JU,19568
JV,2
JY,263
K6,4928
KA,5849
KC,2254
KE,3320
KK,5123
KL,205761
KM,58159
KP,1039
KQ,21131
KU,6269
KX,212
LA,71575
LG,8606
LH,272453
LI,1982
LM,1788
LO,41952
LQ,77
LR,-41
LX,124881
LY,3669
M9,408
MD,1140
ME,5334
MF,1213
MH,11050
MI,2821
MK,7437
MN,688
MS,15225
MT,2535
MU,24701
MW,119
NF,121
NH,7313
NP,240
NS,8
NT,8849
NU,70
NX,273
NY,57
NZ,8901
O6,4659
OA,28
OB,3310
OD,1768
OK,30436
OL,2
OM,167
OR,172
OS,60342
OU,10745
OY,6492
OZ,3007
P0,169
P9,2335
PC,12452
PD,698
PG,19135
PK,72
PN,131
PR,17710
PS,44402
PU,973
PW,2023
PX,181
PY,599
PZ,180
QD,316
QF,24479
QR,48920
QS,8849
QV,609
R3,1
RA,74
RJ,6796
RO,19351
S2,8
S3,-4
S4,6363
S7,4928
SA,8465
SB,566
SC,72
SE,7744
SK,89109
SN,81030
SP,4235
SQ,24120
SS,6612
ST,212
SU,31681
SV,14147
SW,1135
SY,308
T7,270
TA,806
TB,444
TF,9223
TG,31218
TK,201317
TL,128
TM,476
TN,938
TP,248470
TR,414
TS,6790
TU,29056
TX,9769
U6,5423
U8,228
UA,55844
UG,13
UH,9
UK,474
UL,5624
UO,39
UP,305
UT,2730
UU,3691
UX,278210
V7,8905
VA,16102
VL,250
VN,11052
VR,1280
VS,42648
VT,266
VW,410
VX,757
VY,33346
W2,5130
W4,86
WB,3358
WE,1
WF,6397
WM,356
WS,9154
WW,1015
WX,915
WY,35692
XK,12193
XL,421
XQ,1619
XY,401
Y7,51
YM,3708
YN,3
ZH,821
ZI,22994
ZL,2
ZM,157
