Carrier Code,Sabre Bookings
0B,3672
1A,21
2A,128
2H,11
2I,347
2J,77
2L,134
2M,9
2N,403
3B,891
3J,12
3K,549
3M,302
3O,64
3S,191
3U,659
4A,6
4B,52
4D,8
4M,53
4O,867
4U,-18
5F,68
5H,370
5J,2
5N,80
5O,41
5P,16
5T,14
5U,167
5W,19
5Z,545
6E,20
6H,311
6I,43
6S,1
7F,22
7H,8
7I,1486
7J,2
7N,5
7R,608
7W,64
7Y,8
8L,25
8M,638
8P,17
8Q,8244
8U,7
9B,45767
9F,21
9K,153
9M,11
9N,93
9U,757
9V,3021
9W,7974
9X,17
A2,82
A3,23505
A5,3689
A9,2518
AA,66881
AB,-158
AC,19561
AD,5068
AE,125
AF,64225
AG,1059
AH,1136
AI,29341
AK,82
AM,3586
AR,17170
AS,11138
AT,48101
AV,7443
AW,69
AY,29258
AZ,21530
B0,59
B2,2488
B5,56
B6,1612
B7,28
B8,4
BA,54215
BB,125
BD,97
BE,1746
BF,337
BG,259
BI,279
BJ,2107
BL,178
BM,11984
BP,1225
BR,12272
BT,8446
BV,223
BW,1318
CA,21007
CC,74
CE,57
CG,48
CI,2481
CM,26105
CO,488
CU,4319
CX,7858
CY,136
CZ,4252
D2,49
D7,6
D8,97957
DD,53
DE,20254
DI,1465
DL,78442
DN,1
DT,1095
DV,81
DX,237
DY,37292
E9,56
EB,113
EI,4164
EK,77360
EL,13441
EN,16129
EQ,2601
ET,19486
EW,36801
EY,29925
F7,6
F8,692
F9,9
FA,1017
FB,3203
FD,452
FE,4
FI,7177
FJ,7596
FM,1048
FN,350
FR,877
FZ,636
G3,13385
G9,6
GA,1055
GF,3287
GK,61
GL,1079
GM,803
GP,387
GQ,1518
GR,78
GS,52
GZ,28
H1,4855
H2,1000
H9,4
HA,11193
HF,552
HG,87
HM,1104
HO,366
HR,9
HU,935
HV,24
HX,230
HY,6427
HZ,3
IA,12
IB,35640
ID,125
IE,41
IG,487
IR,9555
IT,2
IZ,561
J2,4714
J9,10
JD,117
JE,8
JJ,965
JL,1817
JP,5783
JQ,115
JS,1
JT,2
JU,10191
JY,230
K6,4447
KA,752
KB,6
KC,11186
KE,1648
KK,4579
KL,88245
KM,54460
KP,1452
KQ,3851
KS,3
KU,21817
KX,169
L6,170
LA,20975
LF,3
LG,10959
LH,315539
LI,1103
LJ,21
LM,591
LN,9
LO,34373
LQ,55
LR,11
LX,70778
LY,2985
M9,146
MD,1563
ME,1299
MF,4394
MH,2048
MI,7432
MK,9935
MM,4
MN,1548
MR,11
MS,7187
MT,518
MU,18233
MW,511
N4,21
NF,195
NH,2632
NK,81
NP,336
NS,2
NT,5753
NU,79
NX,820
NY,328
NZ,4989
O6,3391
OA,4
OB,1818
OD,1195
OE,10
OK,5361
OL,5
OM,2272
OR,333
OS,48513
OU,13403
OY,1683
OZ,1292
P0,536
P9,2621
PB,9
PC,12427
PD,288
PE,136
PG,37216
PK,181
PL,2
PM,5
PR,1615
PS,13630
PU,183
PW,3685
PX,1371
PY,368
PZ,104
QC,105
QD,168
QF,6425
QR,61929
QS,1047
QV,2096
QZ,38
R3,823
R5,3
R7,8
RA,69
RC,241
RJ,3559
RO,8069
S4,2981
S7,9168
SA,11114
SB,363
SC,829
SE,3517
SF,16
SG,23
SK,33611
SL,2178
SM,2199
SN,24752
SP,833
SQ,21753
SS,3795
ST,42559
SU,43030
SV,2763
SW,3187
SX,2736
SY,443
SZ,286
T7,297
TA,668
TB,167
TC,4
TF,619
TG,27950
TI,6
TJ,15
TK,111007
TL,140
TM,572
TN,838
TO,15
TP,34033
TR,2172
TS,572
TU,4150
TV,2
TX,6236
U2,1304
U6,21437
UA,78032
UB,184
UG,111
UH,6
UI,25
UJ,133
UK,615
UL,1437
UM,9
UO,435
UP,814
UT,5380
UU,6499
UX,101129
V7,2536
VA,4015
VJ,1382
VK,1150
VN,12447
VO,2
VR,766
VS,2828
VT,1025
VW,483
VX,693
VY,2390
VZ,16
W2,1705
W4,65
W5,2
W6,28
WB,1262
WE,567
WF,3267
WG,16
WM,513
WN,163
WS,1645
WW,8732
WX,92
WY,13073
WZ,42
X3,2626
XC,2
XG,5123
XK,1021
XL,1773
XQ,24914
XR,4
XT,2
XW,8
XX,1
XY,209
Y7,45
YC,217
YE,81
YH,8
YJ,10
YK,2
YM,9870
YU,12
Z2,7
Z6,-2
Z8,2
Z9,11
ZE,5
ZH,1996
ZI,10348
ZK,4
ZL,36
ZM,10
