Carrier Code,Sabre Bookings
0B,6155
2I,210
2J,6
2M,11
2N,81
3B,2
3E,3
3K,1391
3M,220
3S,761
3U,1171
4B,11
4M,20
4O,11377
5F,253
5N,190
5U,508
5Z,151
6H,242
7C,5
7F,4
7H,4
7M,25
7N,22
7R,180
8L,75
8M,661
8Q,3947
8U,8
9B,277
9F,51
9K,68
9M,2
9N,123
9U,2588
9V,2840
9W,14254
A0,1
A3,31432
A5,2458
A9,3131
AA,5479
AC,27105
AD,6995
AE,44
AF,72084
AH,9524
AI,21768
AM,17954
AR,6585
AS,6781
AT,23760
AV,28933
AY,32792
AZ,54155
B0,35
B2,3791
B6,4916
BA,28032
BB,49
BD,240
BE,3232
BG,125
BI,83
BJ,3797
BL,213
BM,1129
BP,258
BR,3759
BT,5583
BV,871
BW,518
CA,27775
CC,120
CE,447
CG,23
CI,5706
CM,10319
CO,6938
CX,19853
CY,872
CZ,8510
D8,17112
DE,5550
DI,6184
DL,1081
DN,53
DT,731
DV,321
DY,10833
EB,1507
EI,6199
EK,52810
EL,1604
EN,1574
EQ,2800
ET,13294
EW,5065
EY,28045
F7,1
FB,3504
FI,5455
FJ,1007
FM,1616
FZ,3146
G3,5669
GA,2930
GF,705
GK,213
GM,62
GP,345
GQ,3218
GR,27
GS,357
H1,3014
H9,32
HA,3803
HF,4
HG,668
HM,703
HO,939
HU,2541
HX,1055
HY,3009
HZ,210
IB,71233
ID,715
IE,32
IG,1208
IZ,508
J2,2237
JD,309
JJ,1148
JL,10973
JP,3957
JQ,459
JU,9325
JY,165
K6,465
K7,1
KA,2479
KC,4013
KE,5817
KK,4220
KL,45812
KM,10709
KP,851
KQ,7951
KU,986
KX,212
LA,34035
LG,5159
LH,91640
LI,734
LM,373
LN,34
LO,19347
LQ,257
LX,50479
LY,1828
M9,69
MD,1773
ME,3075
MF,2129
MH,5365
MI,1429
MK,3621
MN,312
MS,10285
MT,976
MU,27530
MW,134
NF,160
NH,13919
NP,1139
NS,36
NT,4952
NU,275
NX,1520
NY,42
NZ,4286
O6,2849
OB,1211
OD,1831
OK,9904
OM,385
OR,773
OS,20570
OU,3221
OY,2713
OZ,5850
P0,50
P9,1975
PC,17326
PD,853
PG,19745
PK,863
PN,21
PR,5244
PS,7240
PU,2249
PW,825
PX,405
PY,681
PZ,27
QD,259
QF,9959
QR,27338
QS,7184
QV,909
R3,88
RA,130
RJ,3389
RO,7730
RQ,6
S4,3579
S7,5401
SA,4436
SB,583
SC,88
SE,8059
SK,31048
SN,13554
SP,1846
SQ,19497
SS,8143
ST,2173
SU,57948
SV,7446
SW,2099
SX,436
SY,414
T7,175
TA,531
TB,411
TF,1215
TG,18048
TJ,4
TK,102194
TL,49
TM,656
TN,606
TP,47700
TR,775
TS,2002
TU,30575
TX,11027
U6,7719
UA,6615
UG,265
UK,182
UL,4932
UO,232
UP,168
UT,2620
UU,4735
UX,64882
V7,6107
VA,9678
VL,21
VN,10644
VR,1816
VS,5691
VT,290
VW,313
VX,226
VY,6891
W2,2546
W4,1
WB,1045
WF,2396
WG,140
WM,491
WS,5244
WW,1236
WX,806
WY,20202
XG,1244
XK,15695
XL,545
XQ,4276
XY,260
Y7,46
YE,218
YM,4251
YN,1
Z9,2
ZH,635
ZI,16427
ZM,105
