Carrier Code,Sabre Bookings
9V,4
9W,2415
A3,351
A9,15
AA,1
AC,180
AF,55
AI,567
AS,10
AT,35
AZ,37
B2,1
B6,4
BA,341
BE,4
BG,52
CM,8
CX,6
CZ,19
DL,108
EK,1830
ET,533
EY,1425
FZ,3734
GA,27
GF,2524
HX,1
HY,10
IB,20
J2,42
JL,3
KE,2
KK,115
KL,96
KM,9
KP,24
KQ,52
KU,1948
LA,2
LH,401
LX,4
ME,185
MH,161
MI,3
MK,2
MS,61
MU,10
NP,1147
OD,1
OK,30
OS,4
OU,3
PC,833
PG,20
PK,2
PR,211
PS,24
QF,1
QR,122
QV,1
RJ,1585
RO,20
S7,3
SA,18
SQ,89
SV,7764
TG,41
TK,9
TR,10
TU,51
U6,3
UA,61
UL,1777
UX,12
VN,14
VS,5
VY,36
WB,10
WS,4
WY,2835
XY,2106
ZI,2
