Carrier Code,Sabre Bookings
0B,20132
2I,393
2J,22
2M,164
2N,286
2P,3365
3E,77
3K,12
3M,621
3S,615
3U,5016
4B,87
4M,97
4O,605
4U,-41
5F,440
5H,84
5J,21
5N,551
5T,37
5U,675
5Z,252
6H,1504
7C,4
7F,66
7H,5
7M,189
7N,129
7R,1203
8L,7
8M,215
8Q,2710
8U,1
9B,16
9K,85
9M,6
9N,147
9U,6688
9V,7515
9W,60727
A3,134149
A5,10228
A9,2962
AA,29414
AB,-1282
AC,99569
AD,3622
AE,399
AF,170671
AH,19644
AI,74523
AK,4
AM,28026
AR,13635
AS,33587
AT,70871
AV,20047
AY,186147
AZ,401120
B0,30
B2,25418
B5,20
B6,66
B8,79
BA,16222
BB,65
BD,223
BE,2060
BG,371
BI,1354
BJ,441
BL,3
BM,1759
BP,745
BR,1656
BT,115810
BV,207
BW,1913
CA,142772
CC,144
CE,152
CG,32
CI,6720
CM,34645
CN,2
CO,71412
CX,50114
CY,3878
CZ,126912
D4,42
D8,70175
DE,2372
DI,5376
DL,3627
DT,3508
DV,253
DY,84022
EB,464
EI,17935
EK,140493
EL,56434
EN,1401
EQ,4160
ET,86142
EU,1
EW,3364
EY,69339
F7,-8
FB,6489
FI,22375
FJ,3682
FM,11450
FR,1
FZ,18852
G3,4649
GA,5320
GF,199118
GK,1
GP,816
GQ,16286
GR,305
GS,2040
GZ,2
H1,4316
H9,181
HA,11053
HF,22
HG,-162
HM,3614
HO,1921
HR,4
HU,8058
HX,564
HY,16150
HZ,1099
IB,138983
ID,639
IE,96
IG,1349
IR,1
IZ,8132
J2,25389
JD,806
JG,2
JJ,10490
JL,53736
JP,17635
JQ,36
JT,4
JU,72253
JY,430
K6,1087
KA,4080
KC,26038
KE,16082
KK,41705
KL,234843
KM,12258
KP,2587
KQ,22124
KU,21157
KX,458
LA,96266
LG,6418
LH,412340
LI,1104
LM,2288
LN,1
LO,217145
LQ,317
LR,-11
LX,170516
LY,51523
M9,679
MD,931
ME,43315
MF,5240
MH,10818
MI,9991
MK,6329
MN,2828
MS,109001
MT,5098
MU,153808
MW,537
NF,285
NH,33017
NP,2708
NS,20
NT,2333
NU,827
NX,6
NY,136
NZ,15907
O6,2574
OA,158
OB,2934
OD,28561
OK,72234
OM,917
OR,1179
OS,139476
OU,34759
OV,1
OY,10364
OZ,18507
P0,164
P9,1719
PC,85927
PD,-2
PG,68497
PK,3048
PN,36
PR,134183
PS,121873
PU,177
PW,2249
PX,4273
PY,1881
PZ,381
QD,301
QF,25321
QR,220228
QS,12
QV,326
R3,853
RA,148
RJ,47127
RO,54040
RQ,21
S2,15
S3,-16
S4,6525
S7,12724
SA,17535
SB,837
SC,894
SE,2799
SK,377666
SN,101633
SP,4025
SQ,85673
SS,791
ST,4551
SU,321683
SV,93004
SW,4513
SX,208
SY,2660
SZ,1
T7,67
TA,1084
TB,389
TF,37736
TG,93513
TJ,10
TK,500370
TL,26
TM,506
TN,1180
TP,204393
TR,3736
TS,10710
TU,14393
TX,4599
TZ,-6
U2,3
U6,12563
U8,2304
UA,74318
UB,129
UG,73
UH,365
UK,755
UL,25902
UO,505
UP,547
UT,9284
UU,2544
UX,100681
V7,3310
VA,56498
VK,2
VN,27898
VR,260
VS,22550
VT,995
VW,449
VX,2183
VY,17290
W2,3546
W4,13
WB,5240
WF,17013
WM,478
WP,3
WS,14649
WW,1158
WX,2603
WY,216897
XG,47
XK,830
XL,1495
XQ,1861
XY,4086
Y7,74
YC,1
YE,12
YM,3982
YY,2
Z6,-25
Z9,25
ZH,4109
ZI,7466
ZL,1
ZM,1875
