Carrier Code,Sabre Bookings
0B,8
2I,61
2J,1
2M,6
3K,200
3M,11
3S,3
3U,86
4O,242
5H,7
5J,8
5N,3
5U,32
5Z,30
7I,672
7N,13
7R,7
9B,90
9K,7
9U,5
9V,45
9W,3140
A3,1244
A5,6
A9,66
AA,13258
AB,-94
AC,7858
AD,80
AF,28726
AH,29
AI,6052
AK,-2
AM,2426
AR,1195
AS,708
AT,594
AV,7023
AY,44162
AZ,1719
B2,211
B6,344
BA,31201
BB,62
BD,26
BE,88
BG,3
BI,51
BJ,29
BL,53
BM,7
BP,40
BR,153
BT,2527
BW,111
CA,10416
CC,4
CI,1048
CM,2297
CO,11
CX,7458
CZ,3935
D7,-2
D8,6468
DE,538
DI,796
DL,12833
DT,120
DY,8435
EB,8
EI,545
EK,32068
EL,2
EN,108
EQ,831
ET,4571
EW,452
EY,11995
FB,89
FD,2
FI,9594
FJ,2728
FM,185
FZ,323
G3,1191
GA,2387
GF,143
GK,18
GQ,21
GR,1
GS,9
GZ,32
H1,526
HA,1170
HG,-8
HM,48
HO,34
HU,378
HX,341
HZ,5
IB,7116
ID,19
IE,2
IG,22
IZ,5
J2,20
JD,8
JJ,481
JL,2809
JP,357
JQ,1089
JU,365
JY,42
K6,76
KA,606
KC,12
KE,1760
KK,124
KL,72927
KM,247
KP,3
KQ,4736
KU,-14
KX,41
LA,6782
LG,160
LH,54326
LI,83
LM,16
LO,4597
LR,-2
LX,14327
LY,8
M9,4
MD,58
ME,53
MF,685
MH,5776
MI,521
MK,542
MN,214
MS,1517
MT,18
MU,4439
MW,15
NF,157
NH,1282
NK,-3
NP,17
NT,2
NU,36
NX,112
NY,14
NZ,3775
O6,212
OB,166
OD,2537
OK,1830
OM,38
OR,599
OS,6838
OU,721
OY,173
OZ,492
P0,19
P9,490
PC,948
PD,35
PG,3372
PK,158
PN,1
PR,2577
PS,2193
PU,31
PW,1425
PX,106
PY,569
PZ,1
QD,12
QF,8383
QR,79296
QV,134
RA,18
RJ,656
RO,239
S3,-1
S4,20
S7,4
SA,2222
SB,15
SC,4
SE,41
SK,52558
SN,5986
SP,76
SQ,12083
SS,7
SU,6374
SV,127
SW,192
SX,3
SY,23
TA,194
TF,528
TG,11065
TK,24135
TL,17
TM,6
TN,124
TP,4513
TR,2723
TS,322
TU,410
TV,1
TX,252
U6,19
UA,12335
UG,4
UK,29
UL,4298
UO,136
UP,54
UU,56
UX,3635
V7,8
VA,5195
VN,6243
VR,32
VS,2429
VT,232
VW,38
VX,24
VY,427
W2,276
WB,125
WF,1320
WM,28
WP,-4
WS,698
WW,477
WY,1296
XG,3
XL,36
XQ,140
XY,3
YE,7
YM,33
ZH,28
ZI,32
ZM,10
