Carrier Code,Sabre Bookings
0B,65
2J,1
3M,7
3S,70
3U,8
4O,1
5F,11
5W,2
5Z,4
6H,3
7I,4
7N,2
7R,2
8M,16
8Q,7
9N,2
9U,85
9W,966
A1,6
A3,8988
A5,2985
A9,187
AA,7129
AB,-8
AC,4673
AD,226
AF,48388
AH,16546
AI,643
AM,942
AR,169
AS,201
AT,20750
AV,516
AY,2996
AZ,6524
B0,34
B6,21
BA,5364
BE,234
BG,2
BJ,231
BP,20
BR,643
BT,257
BV,23
BW,32
CA,1092
CC,1
CE,119
CI,410
CM,351
CO,68
CX,1405
CZ,907
D8,477
DE,223
DI,28
DL,4546
DT,31
DY,1782
EB,15
EI,421
EK,9019
EL,8
EN,3
ET,1328
EW,468
EY,3861
FB,219
FI,399
FJ,25
FM,49
FR,66
FZ,72
G3,314
GA,298
GF,530
GP,59
GQ,125
GS,12
H1,182
HA,75
HG,2
HM,218
HO,5
HU,11
HV,146
HX,21
HY,99
IB,15033
ID,53
IG,35
IZ,319
J2,60
JJ,157
JL,356
JP,286
JQ,2
JU,776
JY,5
KA,336
KC,58
KE,185
KK,1657
KL,6379
KM,2729
KP,76
KQ,1869
KU,233
KX,10
LA,1844
LG,7
LH,23541
LO,1686
LQ,7
LX,10001
LY,515
MD,594
ME,1910
MF,24
MH,417
MI,972
MK,2198
MN,42
MS,2499
MT,7
MU,1834
MW,3
NH,525
NT,204
NU,9
NX,6
NY,3
NZ,365
O6,142
OB,70
OD,226
OK,2178
OM,-3
OR,2
OS,2790
OU,388
OY,89
OZ,85
P9,52
PC,2300
PG,2313
PS,1677
PW,17
PX,6
PZ,10
QD,3
QF,567
QR,5554
QS,259
QV,43
RJ,1027
RO,359
S4,153
SA,279
SB,193
SE,4932
SK,1914
SN,5537
SP,25
SQ,3226
SS,6465
ST,62
SU,4483
SV,2008
SY,5
T7,30
TA,7
TB,617
TG,3257
TK,15080
TN,517
TO,13477
TP,15723
TR,53
TS,2394
TU,22192
TX,6915
U2,59560
U6,64
UA,5382
UG,15
UK,25
UL,446
UO,13
UP,51
UT,5
UU,3336
UX,3390
V7,6579
VA,193
VN,2001
VR,132
VS,656
VX,5
VY,7657
W2,19
W4,4
WB,34
WF,14
WM,93
WW,182
WY,2792
XG,25
XK,105
XL,2
XQ,237
XY,6
YM,170
ZI,13572
